angleout,pathlength,cylangleadvance,windingrot,anglein
20.275000, 1513.828897, 19.446603, -739.441201, 25.133885
20.276000, 1513.411785, 19.201959, -739.198891, 25.149787
20.277000, 1516.981981, 21.254426, -741.256691, 24.888190
20.278000, 1516.266937, 20.841263, -740.841040, 24.900125
20.279000, 1515.592448, 20.454331, -740.450349, 24.925720
20.280000, 1518.908275, 22.366562, -742.358202, 24.634609
20.281000, 1520.191915, 23.097968, -743.094341, 24.529753
20.282000, 1519.623314, 22.772426, -742.765645, 24.549990
20.283000, 1518.779698, 22.277392, -742.269889, 24.888551
20.284000, 1531.253082, 29.428307, -749.427252, 23.829267
20.285000, 1522.003304, 24.122391, -744.122169, 24.624755
20.286000, 1520.983752, 23.533499, -743.534091, 24.688463
20.287000, 1533.248192, 30.569042, -750.561980, 23.649358
20.288000, 1532.549772, 30.169738, -750.161598, 23.677847
20.289000, 1531.216389, 29.400607, -749.399816, 23.691241
20.290000, 1532.762616, 30.292855, -750.283529, 23.666950
20.291000, 1531.363584, 29.485468, -749.483868, 23.687851
20.292000, 1531.925811, 29.809429, -749.804739, 23.634632
20.293000, 1531.721474, 29.691588, -749.688022, 23.633840
20.294000, 1530.842286, 29.184925, -749.186199, 23.676091
20.295000, 1530.883725, 29.208806, -749.209851, 23.648401
20.296000, 1532.938178, 30.390492, -750.381708, 23.508278
20.297000, 1533.220979, 30.550182, -750.542938, 23.470541
20.298000, 1537.544449, 33.013054, -753.004427, 23.144219
20.299000, 1536.680464, 32.518566, -752.512938, 23.184110
20.300000, 1535.853576, 32.043449, -752.042348, 23.224544
20.301000, 1535.093587, 31.606725, -751.609718, 23.252435
20.302000, 1556.924870, 43.966852, -763.963269, 21.743458
20.303000, 1556.209913, 43.568007, -763.560562, 21.766281
20.304000, 1554.657527, 42.689148, -762.686062, 21.829090
20.305000, 1554.834984, 42.789879, -762.785834, 21.796717
20.306000, 1573.833873, 53.446559, -773.440423, 20.592948
20.307000, 1550.990779, 40.626388, -760.618062, 22.257611
20.308000, 1550.923683, 40.587994, -760.580037, 22.258682
20.309000, 1549.964337, 40.040512, -760.037788, 22.289859
20.310000, 1549.467575, 39.756546, -759.756533, 22.265328
20.311000, 1795.830144, 176.844528, -896.839643, 17.670848
20.312000, 1821.563145, 190.916665, -910.918391, 16.561827
20.313000, 1822.520771, 191.441965, -911.438671, 16.533745
20.314000, 1821.592322, 190.932604, -910.934177, 16.561824
20.315000, 1820.627633, 190.409945, -910.410164, 16.585653
20.316000, 1820.046621, 190.097577, -910.094767, 16.600285
20.317000, 1819.645969, 189.882186, -909.877288, 16.610924
20.318000, 1818.012094, 188.994422, -908.989599, 16.641129
20.319000, 1817.304139, 188.605967, -908.604846, 16.661680
20.320000, 1815.839329, 187.807993, -907.808269, 16.705559
20.321000, 1815.076944, 187.397483, -907.393771, 16.726251
20.322000, 1847.170526, 204.874601, -924.867636, 15.553258
20.323000, 1846.359309, 204.432080, -924.429338, 15.568145
20.324000, 1846.168057, 204.327925, -924.326175, 15.572944
20.325000, 1846.282173, 204.390397, -924.388053, 15.568895
20.326000, 1845.554476, 203.993213, -923.994659, 15.588345
20.327000, 1844.850035, 203.612097, -923.613881, 15.601211
20.328000, 1876.406000, 220.685390, -940.706072, 14.631085
20.329000, 1875.904647, 220.415833, -940.436623, 14.638160
20.330000, 1874.942661, 219.897245, -939.918208, 14.662555
20.331000, 1875.338449, 220.110939, -940.131832, 14.652664
20.332000, 1874.954395, 219.904216, -939.925177, 14.660129
20.333000, 1874.681221, 219.757578, -939.778588, 14.664808
20.334000, 1774.865754, 165.311454, -885.308515, 18.538387
20.335000, 1774.744980, 165.244708, -885.242406, 18.542118
20.336000, 1767.034700, 160.994761, -880.987923, 18.880257
20.337000, 1692.155382, 119.445104, -839.440002, 21.999670
20.338000, 1692.493370, 119.634576, -839.631316, 21.988356
20.339000, 1691.974366, 119.343371, -839.337284, 22.002890
